year,Base case cost,"Bradfield river, north -- bradfield river, north fork","Fish creek; 55.58', 130.03' (hyder) -- beaver falls creek",City creek (petersburg),Cascade creek (cascade/rosa),Anan creek (anan lake),Aaron (aaron creek),Bakewell arm (bakewell arm lake),"Anita and kunk lakes (petersburg) -- kunk lake, anita lake","Coho creek (56.49', 133.01' near kupreanof)",Clover creek,Ruth lake hydroelectric project,Short (short creek),Thomas bay (juneau) -- swan lake,Orchard creek,Perseverance lake (ward cove creek) -- perserverance lake,Scenery lake -- scenery creek,Shelokum lake,Margaret creek,Nadzaheen lake,Naha river,Olive lake (olive creek),Ruth lake -- delta creek,Crittenden creek,Eagle (eagle lake),Drake lake,Gokachin river,Farragut river (glory creek),Harding river,Grace lake (mahoney lake),Katate river,Houghton (unnamed stream),Connell lake -- connel lake,Mahoney lake,Sunrise lake,"Wrangell resevoir, lower (unnamed stream) -- unnamed creek",White river,Virginia lake,Tom creek,"Thomas lake (petersburg/ wrangell, thoms) -- thoms lake"
2021,1616113.67012,37807390.991,2185322.80608,1045667.29061,1742014.41978,9772697.93998,16924562.7864,5613958.2888,2145992.65191,2046169.59253,7016520.76473,,7736929.63148,11693801.6566,12535631.9891,1937665.92339,5148415.6463,10233542.2266,1918302.68953,2052405.23909,4970332.17136,3736602.4544,5294944.49543,2023503.76723,12885635.8483,2658283.99195,4065449.62914,52982684.0872,25181035.4395,2096239.59623,37116006.5293,44567723.041,4210402.18488,5341303.69275,3189888.25449,1693458.36798,11135904.2497,1523675.4948,7339705.94645,7346634.00826
2022,1674177.63432,37761859.7264,2239839.139,1076814.91025,1794674.89045,9761228.23211,16904403.9059,5609584.97057,2134331.78223,2098650.55522,7010394.14346,,7729640.76777,11624288.2756,12520339.0453,1969473.98615,5120709.00287,10224000.4414,1965487.13655,2085083.66322,4965693.80354,3733421.85933,5270732.98481,2057233.87802,12873443.5672,2702821.0898,4061871.45968,52926030.6816,25151492.2526,2153578.25928,37081597.4057,44520453.9419,4206370.40877,5327086.46848,3185645.15771,1744269.32073,11122349.1404,1514541.43653,7332814.65712,7338038.67869
2023,1708048.2801,37735299.8221,2271640.3332,1094984.35504,1825393.49834,9754537.56918,16892644.559,5607033.86827,2127529.60826,2129264.45013,7006820.28106,,7725388.9306,11583738.8033,12511418.1614,1988028.68943,5104546.79421,10218434.4,1993011.39731,2104146.0773,4962988.08898,3731566.5122,5256609.60361,2076909.77598,12866331.4032,2728801.06354,4059784.19417,52892982.8617,25134258.7269,2187025.81273,37061525.4169,44492880.3007,4204018.53938,5318793.08766,3183170.01792,1773909.04317,11114441.9933,1509213.23587,7328794.73834,7333024.73644
2024,1741918.92588,37708739.9177,2303441.5274,1113153.79983,1856112.10623,9747846.90625,16880885.212,5604482.76597,2120727.43428,2159878.34503,7003246.41865,,7721137.09343,11543189.331,12502497.2775,2006583.3927,5088384.58554,10212868.3586,2020535.65808,2123208.49138,4960282.37442,3729711.16507,5242486.22241,2096585.67394,12859219.2392,2754781.03729,4057696.92865,52859935.0418,25117025.2011,2220473.36617,37041453.4281,44465306.6596,4201666.66999,5310499.70685,3180694.87813,1803548.7656,11106534.8462,1503885.03521,7324774.81956,7328010.79419
2025,1775789.57166,37682180.0134,2335242.72161,1131323.24462,1886830.71412,9741156.24332,16869125.865,5601931.66367,2113925.2603,2190492.23993,6999672.55625,,7716885.25626,11502639.8587,12493576.3936,2025138.09598,5072222.37688,10207302.3172,2048059.91884,2142270.90546,4957576.65986,3727855.81794,5228362.84122,2116261.57191,12852107.0752,2780761.01103,4055609.66313,52826887.2219,25099791.6754,2253920.91962,37021381.4393,44437733.0184,4199314.8006,5302206.32603,3178219.73835,1833188.48804,11098627.6991,1498556.83456,7320754.90078,7322996.85194
2026,1819337.54481,37648031.5649,2376129.97129,1154683.95935,1926326.06712,9732553.96242,16854006.7047,5598651.675,2105179.60805,2229852.96195,6995077.5903,,7711418.60847,11450504.8229,12482106.6857,2048994.14305,5051442.39431,10200145.9783,2083448.25411,2166779.72356,4954097.88399,3725470.37163,5210204.20825,2141559.155,12842962.8644,2814163.83442,4052926.03603,52784397.1677,25077634.2852,2296924.91691,36995574.5966,44402281.1941,4196290.96852,5291543.40783,3175037.41576,1871296.7026,11088461.3671,1491706.29085,7315586.43378,7316550.35477
2027,1858046.85427,37617677.3885,2412474.19324,1175449.03911,1961433.04757,9724907.4905,16840567.451,5595736.12951,2097405.69493,2264840.27042,6990993.17612,,7706559.366,11404162.5688,12471911.3898,2070199.51823,5032971.29869,10193784.7881,2114904.55213,2188565.33965,4951005.63878,3723349.97492,5194063.20116,2164045.89553,12834834.6769,2843855.23299,4050540.58973,52746628.2307,25057938.8272,2335150.69228,36972635.1808,44370768.4613,4193603.11778,5282065.25832,3172208.68457,1905170.6711,11079424.6276,1485616.91867,7310992.24089,7310820.13505
2028,1891917.50005,37591117.4842,2444275.38744,1193618.4839,1992151.65546,9718216.82757,16828808.104,5593185.02721,2090603.52096,2295454.16532,6987419.31371,,7702307.52883,11363613.0966,12462990.5059,2088754.22151,5016809.09003,10188218.7467,2142428.81289,2207627.75373,4948299.92422,3721494.62779,5179939.81996,2183721.79349,12827722.513,2869835.20673,4048453.32421,52713580.4107,25040705.3015,2368598.24572,36952563.1921,44343194.8202,4191251.24839,5273771.8775,3169733.54479,1934810.39354,11071517.4805,1480288.71801,7306972.32212,7305806.1928
2029,1935465.4732,37556969.0357,2485162.63713,1216979.19863,2031647.00846,9709614.54667,16813688.9436,5589905.03854,2081857.8687,2334814.88734,6982824.34776,,7696840.88104,11311478.0608,12451520.798,2112610.26858,4996029.10746,10181062.4078,2177817.14816,2232136.57183,4944821.14835,3719109.18148,5161781.187,2209019.37658,12818578.3021,2903238.03012,4045769.69711,52671090.3566,25018547.9113,2411602.24301,36926756.3493,44307742.9958,4188227.41632,5263108.9593,3166551.2222,1972918.6081,11061351.1485,1473438.17431,7301803.85512,7299359.69563
2030,1959658.79162,37537997.6755,2507877.77584,1229957.37348,2053588.87123,9704835.50172,16805289.4101,5588082.82261,2076999.173,2356681.95513,6980271.5889,,7693803.85449,11282514.152,12445148.7381,2125863.62806,4984484.6727,10177086.664,2197477.33442,2245752.58189,4942888.49509,3717783.93353,5151693.05757,2223073.58941,12813498.185,2921795.15422,4044278.79317,52647484.7709,25006238.2501,2435493.35262,36912419.2145,44288047.5379,4186547.50961,5257185.11586,3164783.26521,1994089.83841,11055703.1863,1469632.31669,7298932.48456,7295778.30831
