year,population
2003,14083.0
2004,13760.0
2005,13766.0
2006,13729.0
2007,13763.0
2008,13680.0
2009,13751.0
2010,13805.0
2011,13922.0
2012,14077.0
2013,13990.0
2014,13951.0
2015,13909.0
2016,13837.0
2017,13763.0
2018,13759.0
2019,13844.0
2020,13923.0
2021,14003.0
2022,14106.0
2023,14222.0
2024,14381.0
2025,14536.0
2026,14689.0
2027,14801.0
2028,14900.0
2029,15454.0
2030,16007.0
2031,16476.0
2032,16452.0
2033,16294.0
2034,16182.0
2035,16223.0
2036,16475.0
2037,16924.0
2038,17350.0
2039,17549.0
2040,17560.0
