year,Base case cost,Modeled wind power
2019,1446760.44122,1517351.67
2020,1548372.37856,1580471.14219
2021,1616113.67012,1622550.79032
2022,1674177.63432,1658619.06014
2023,1708048.2801,1679658.8842
2024,1741918.92588,1700698.70827
2025,1775789.57166,1721738.53233
2026,1819337.54481,1748789.7347
2027,1858046.85427,1772835.24791
2028,1891917.50005,1793875.07198
2029,1935465.4732,1820926.27434
2030,1959658.79162,1835954.7201
2031,2008045.42845,1866011.61162
2032,2051593.40159,1893062.81399
2033,2099980.03842,1923119.70551
2034,2148366.67525,1953176.59703
2035,2182237.32103,1974216.42109
2036,2235462.62155,2007279.00177
2037,2264494.60364,2025313.13668
2038,2317719.90416,2058375.71735
