year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.5
2001,,,0.98
2003,,1.11,1.42
2004,,1.42,2.17
2005,,2.22,2.76
2006,,2.51,3.03
2008,,3.91,4.23
2009,,1.91,2.96
2010,,2.44,3.44
2011,,3.47,4.19
2012,,3.91,4.34
2013,,3.91,4.27
2014,,3.92,4.16
2016,start of forecast,1.55,1.99
2017,,1.9,2.34
2018,,2.17,2.61
2019,,2.54,2.98
2020,,2.72,3.16
2021,,2.84,3.28
2022,,2.94,3.38
2023,,3.0,3.44
2024,,3.06,3.5
2025,,3.12,3.56
2026,,3.2,3.64
2027,,3.27,3.71
2028,,3.32,3.76
2029,,3.4,3.84
2030,,3.44,3.88
2031,,3.53,3.97
2032,,3.61,4.05
2033,,3.69,4.13
2034,,3.78,4.22
2035,,3.84,4.28
2036,,3.93,4.37
2037,,3.98,4.42
2038,,4.07,4.51
2039,,4.14,4.58
2040,,4.24,4.68
