year,Base case cost,Modeled diesel efficiency
2019,64073.9384385,257373.400502
2020,74068.7316444,261792.598826
2021,82462.4827604,264865.686621
2022,90505.1549672,267726.430404
2023,98284.753595,270452.33147
2024,107228.271127,274338.210805
2025,115576.852765,277782.721939
2026,126415.71306,283588.273747
2027,136531.281905,288831.161872
2028,146356.290382,293902.554585
2029,160088.853509,302616.748633
2030,172596.192013,310305.460426
2031,188672.313365,321324.80764
2032,205794.474446,333379.365133
2033,222443.715883,345086.285732
2034,240961.044191,358571.82856
2035,259884.515751,372505.070445
2036,282530.465995,389899.022468
2037,304753.747063,406983.572193
2038,331838.402198,428560.641167
