year,annotation,diesel generation efficiency
2002,,14.43
2003,,9.65
2004,,8.83
2005,,9.31
2006,,11.21
2007,,14.24
2008,,14.65
2009,,14.03
2010,,13.3
2011,,13.78
2012,,13.08
2013,,13.75
2014,,4.46
2015,,13.84
2016,start of forecast,10.68
2017,,10.68
2018,,10.68
2019,,10.68
2020,,10.68
2021,,10.68
2022,,10.68
2023,,10.68
2024,,10.68
2025,,10.68
2026,,10.68
2027,,10.68
2028,,10.68
2029,,10.68
2030,,10.68
2031,,10.68
2032,,10.68
2033,,10.68
2034,,10.68
2035,,10.68
2036,,10.68
2037,,10.68
2038,,10.68
2039,,10.68
2040,,10.68
