year,Base case cost,Modeled biomass for heat (pellet)
2017,354614.473275,441547.325798
2018,395508.403275,470038.120635
2019,451548.233275,509521.834986
2020,478810.853275,528194.462116
2021,496985.933275,540312.094533
2022,512131.833275,550260.820633
2023,521219.373275,555846.730444
2024,530306.913275,561455.939529
2025,539394.453275,567087.901809
2026,551511.173275,574935.421375
2027,562113.303275,581707.971399
2028,569686.253275,586308.374617
2029,581802.973275,594219.477799
2030,587861.333275,597764.11514
2031,601492.643275,606811.831159
2032,,
2033,,
2034,,
2035,,
2036,,
