year,Base case cost,Burro creek hydro feasibility study
2021,82462.4827604,644115.975754
2022,90505.1549672,629978.651303
2023,98284.753595,618648.946303
2024,107228.271127,608835.774575
2025,115576.852765,598772.016956
2026,126415.71306,590180.009255
2027,136531.281905,581870.511832
2028,146356.290382,574945.962917
2029,160088.853509,570209.941162
2030,172596.192013,567264.154855
2031,188672.313365,564798.807561
2032,205794.474446,564348.579773
2033,222443.715883,563710.271868
2034,240961.044191,564540.810633
2035,259884.515751,568081.348733
2036,282530.465995,573577.431235
2037,304753.747063,581619.520547
2038,331838.402198,592066.356394
2039,359248.624537,604440.626435
2040,389756.4725,618121.578716
2041,415159.077896,633706.94199
2042,441355.462681,650316.176259
2043,469139.534807,668737.796749
2044,497717.436907,688172.679638
2045,528676.822074,710203.335141
2046,561620.789285,734427.839778
2047,597740.077439,762032.027784
2048,632668.618615,788645.041471
2049,673550.889706,821406.680172
2050,716814.651923,856740.137376
2051,716814.651923,848995.698898
2052,716814.651923,841432.770691
2053,716814.651923,834047.098642
2054,716814.651923,826834.528221
2055,716814.651923,819791.002442
2056,716814.651923,812912.559304
2057,716814.651923,806195.329687
2058,716814.651923,799635.535112
2059,716814.651923,793229.485774
2060,716814.651923,786973.578176
2061,716814.651923,780864.293416
2062,716814.651923,774898.19502
2063,716814.651923,769071.927038
2064,716814.651923,763382.212264
2065,716814.651923,757825.850138
2066,716814.651923,752399.715231
2067,716814.651923,747100.755406
2068,716814.651923,741925.989908
2069,716814.651923,736872.507991
2070,716814.651923,731937.467069
