year,Base case diesel consumed,Burro creek hydro feasibility study
2021,29036.085479,0.0
2022,30784.0663154,1747.98083637
2023,32761.5845317,3725.49905267
2024,35041.9186691,6005.83319009
2025,37043.8630658,8007.77758678
2026,39504.9103313,10468.8248523
2027,41752.6855978,12716.6001188
2028,44083.2199946,15047.1345156
2029,47084.9569144,18048.8714354
2030,50173.3116318,21137.2261528
2031,53448.2474123,24412.1619333
2032,57006.779625,27970.694146
2033,60282.8498328,31246.7643538
2034,63746.307987,34710.222508
2035,67678.2593102,38642.1738312
2036,71890.7038155,42854.6183365
2037,76571.2932319,47535.2077528
2038,81532.7769527,52496.6914737
2039,86775.0300814,57738.9446024
2040,91923.6963444,62887.6108654
2041,97914.8768622,68878.7913832
2042,104093.2695,75057.1840213
2043,110646.1167,81610.0312207
2044,117386.18795,88350.1024708
2045,124687.929734,95651.8442555
2046,132457.733322,103421.647843
2047,140976.433358,111940.347879
2048,149214.296843,120178.211364
2049,158856.341912,129820.256433
2050,169060.059416,140023.973937
2051,169060.059416,140023.973937
2052,169060.059416,140023.973937
2053,169060.059416,140023.973937
2054,169060.059416,140023.973937
2055,169060.059416,140023.973937
2056,169060.059416,140023.973937
2057,169060.059416,140023.973937
2058,169060.059416,140023.973937
2059,169060.059416,140023.973937
2060,169060.059416,140023.973937
2061,169060.059416,140023.973937
2062,169060.059416,140023.973937
2063,169060.059416,140023.973937
2064,169060.059416,140023.973937
2065,169060.059416,140023.973937
2066,169060.059416,140023.973937
2067,169060.059416,140023.973937
2068,169060.059416,140023.973937
2069,169060.059416,140023.973937
2070,169060.059416,140023.973937
