year,Base case diesel consumed,Modeled diesel efficiency
2019,25225.9600152,22932.6909229
2020,27231.1513399,24755.5921271
2021,29036.085479,26396.4413446
2022,30784.0663154,27985.5148322
2023,32761.5845317,29783.2586652
2024,35041.9186691,31856.2896992
2025,37043.8630658,33676.2391507
2026,39504.9103313,35913.5548466
2027,41752.6855978,37956.9869071
2028,44083.2199946,40075.6545405
2029,47084.9569144,42804.5062858
2030,50173.3116318,45612.1014834
2031,53448.2474123,48589.3158294
2032,57006.779625,51824.3451137
2033,60282.8498328,54802.5907571
2034,63746.307987,57951.1890791
2035,67678.2593102,61525.690282
2036,71890.7038155,65355.1852868
2037,76571.2932319,69610.2665744
2038,81532.7769527,74120.7063207
