year,Base case cost,Modeled water and wastewater efficiency
2017,43563.3255565,56996.9562072
2018,46870.6798384,58669.1215037
2019,51460.9994038,61243.6468473
2020,53542.14329,62096.1084093
2021,54817.2777662,62403.3896777
2022,55949.5876757,62628.3554516
2023,56562.0931459,62506.0360779
2024,57176.3589763,62399.3430285
2025,57696.0014317,62236.8084656
2026,58345.0054415,62174.6935503
2027,58804.6293956,61992.5888902
2028,59111.595692,61717.5597517
2029,59645.3466313,61610.8733607
2030,59876.0741117,61306.115906
2031,60590.4246892,61345.9160468
