year,Base case diesel consumed,Lake redfield
2021,427554.833617,239416.774678
2022,427152.113209,239014.05427
2023,426548.032596,238409.973657
2024,426346.672392,238208.613453
2025,425541.231575,237403.172636
2026,424467.310486,236329.251547
2027,423259.149261,235121.090322
2028,422252.34824,234114.2893
2029,421312.667287,233174.608347
2030,420440.106402,232302.047463
2031,419433.305381,231295.246441
2032,417956.663883,229818.604944
2033,416278.662181,228140.603242
2034,414869.140752,226731.081813
2035,413459.619322,225321.560383
2036,412318.578165,224180.519226
2037,411311.777144,223173.718205
2038,410304.976123,222166.917184
2039,409163.934966,221025.876026
2040,408291.374081,220153.315142
2041,407217.452992,219079.394052
2042,406210.65197,218072.593031
2043,405270.971017,217132.912078
2044,404599.770337,216461.711398
2045,403592.969316,215454.910376
2046,402854.648567,214716.589628
2047,402049.20775,213911.148811
2048,401310.887001,213172.828062
2049,400706.806389,212568.747449
2050,399968.48564,211830.426701
2051,399968.48564,211830.426701
2052,399968.48564,211830.426701
2053,399968.48564,211830.426701
2054,399968.48564,211830.426701
2055,399968.48564,211830.426701
2056,399968.48564,211830.426701
2057,399968.48564,211830.426701
2058,399968.48564,211830.426701
2059,399968.48564,211830.426701
2060,399968.48564,211830.426701
2061,399968.48564,211830.426701
2062,399968.48564,211830.426701
2063,399968.48564,211830.426701
2064,399968.48564,211830.426701
2065,399968.48564,211830.426701
2066,399968.48564,211830.426701
2067,399968.48564,211830.426701
2068,399968.48564,211830.426701
2069,399968.48564,211830.426701
2070,399968.48564,211830.426701
