year,Base case diesel consumed,Modeled solar power
2020,428628.754706,422246.076214
2021,427554.833617,421223.216553
2022,427152.113209,420871.149081
2023,426548.032596,420317.316181
2024,426346.672392,420165.801708
2025,425541.231575,419409.807857
2026,424467.310486,418384.938158
2027,423259.149261,417225.435911
2028,422252.34824,416266.904597
2029,421312.667287,415375.107193
2030,420440.106402,414550.046789
2031,419433.305381,413590.366244
2032,417956.663883,412160.46826
2033,416278.662181,410528.836123
2034,414869.140752,409165.313302
2035,413459.619322,407801.422492
2036,412318.578165,406705.64691
2037,411311.777144,405743.749339
2038,410304.976123,404781.49254
2039,409163.934966,403684.639251
