year,Base case diesel consumed,Modeled wind power
2019,429501.315591,356005.437107
2020,428628.754706,355132.876222
2021,427554.833617,354058.955133
2022,427152.113209,353656.234725
2023,426548.032596,353052.154112
2024,426346.672392,352850.793908
2025,425541.231575,352045.353091
2026,424467.310486,350971.432002
2027,423259.149261,349763.270777
2028,422252.34824,348756.469756
2029,421312.667287,347816.788803
2030,420440.106402,346944.227918
2031,419433.305381,345937.426897
2032,417956.663883,344460.785399
2033,416278.662181,342782.783697
2034,414869.140752,341373.262268
2035,413459.619322,339963.740838
2036,412318.578165,338822.699681
2037,411311.777144,337815.89866
2038,410304.976123,336809.097639
