year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,431179.32,6904.88,313249.17,239797.5
2018,430306.76,6868.27,313249.17,233545.83
2019,429501.32,6835.46,313249.17,227294.16
2020,428628.75,6801.88,313249.17,221042.48
2021,427554.83,6758.07,313249.17,212290.14
2022,427152.11,6740.85,313249.17,209789.47
2023,426548.03,6717.7,313249.17,204788.13
2024,426346.67,6708.65,313249.17,203537.8
2025,425541.23,6675.99,313249.17,197286.12
2026,424467.31,6633.18,313249.17,188533.78
2027,423259.15,6583.48,313249.17,179781.43
2028,422252.35,6543.09,313249.17,172279.43
2029,421312.67,6503.97,313249.17,164777.42
2030,420440.11,6469.19,313249.17,158525.74
2031,419433.31,6427.87,313249.17,149773.4
2032,417956.66,6369.93,313249.17,139770.72
2033,416278.66,6301.99,313249.17,126017.04
2034,414869.14,6243.46,313249.17,114764.03
2035,413459.62,6186.53,313249.17,104761.35
2036,412318.58,6142.44,313249.17,96009.0
2037,411311.78,6101.67,313249.17,88507.0
2038,410304.98,6060.02,313249.17,81004.99
2039,409163.93,6014.18,313249.17,72252.64
2040,408291.37,5977.57,313249.17,64750.64
