year,Base case cost,Modeled wind power
2019,1219783.73628,1621885.53419
2020,1303031.41431,1680669.06678
2021,1359624.3709,1716852.43175
2022,1405330.45246,1744308.8562
2023,1433201.38952,1756713.06446
2024,1458105.61958,1767039.17695
2025,1485138.8982,1779118.1432
2026,1519592.97154,1797606.41062
2027,1549128.48629,1812046.9263
2028,1570778.73545,1820096.68963
2029,1600988.13569,1835677.13082
2030,1618694.40965,1840867.40121
2031,1656761.55625,1863491.30912
2032,1688544.92209,1880675.24476
2033,1719230.87481,1896971.18478
2034,1754896.46538,1917821.90686
2035,1773741.76689,1924569.51604
2036,1810078.55814,1946486.19001
2037,1830337.40829,1955032.84712
2038,1870990.69112,1981013.11177
