year,Base case cost,Modeled biomass for heat (cordwood)
2017,1439817.57857,1626127.46126
2018,1589745.42685,1747369.93629
2019,1796124.14042,1916182.54792
2020,1883719.624,1983449.89712
2021,1927619.48497,2012013.12035
2022,1976776.68311,2048374.1348
2023,1994763.36526,2056919.22151
2024,2021387.25933,2075005.16766
2025,2033323.6129,2077672.61064
2026,2044505.0652,2078035.90867
2027,2049074.39691,2072684.73355
2028,2047666.4772,2063068.32878
2029,2055048.33882,2060686.73951
2030,2052299.58107,2050699.15295
2031,2061506.68469,2048660.0233
2032,2058675.07312,2035470.72743
2033,2036835.3436,2003343.88751
2034,2028550.13536,1984024.20737
2035,2007013.11511,1954785.14494
2036,2006931.66476,1943802.25424
