year,Base case cost,Modeled solar power
2020,1303031.41431,1352701.17903
2021,1359624.3709,1407117.86255
2022,1405330.45246,1450883.15949
2023,1433201.38952,1477105.62336
2024,1458105.61958,1500461.37883
2025,1485138.8982,1525921.23197
2026,1519592.97154,1558716.76972
2027,1549128.48629,1586691.76908
2028,1570778.73545,1606937.12331
2029,1600988.13569,1635656.09691
2030,1618694.40965,1652083.02896
2031,1656761.55625,1688609.49962
2032,1688544.92209,1718944.9463
2033,1719230.87481,1748216.11449
2034,1754896.46538,1782442.31112
2035,1773741.76689,1800107.19772
2036,1810078.55814,1835067.4006
2037,1830337.40829,1854203.69174
2038,1870990.69112,1893485.32928
2039,1894429.01889,1915802.09044
