year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,6904.8833281,4488.17416327
2018,6868.26881044,4464.37472679
2019,6835.46285042,4443.05085278
2020,6801.8784439,4421.22098853
2021,6758.07490255,4392.74868666
2022,6740.85406785,4381.55514411
2023,6717.70041268,4366.50526824
2024,6708.65218665,4360.62392132
2025,6675.9946821,4339.39654337
2026,6633.18147371,4311.56795791
2027,6583.48047127,4279.26230633
2028,6543.09248545,4253.01011554
2029,6503.96583129,4227.57779034
2030,6469.19432083,4204.97630854
2031,6427.86755659,4178.11391178
