year,Base case cost,Modeled non-residential energy efficiency
2017,2271533.85776,2219887.01712
2018,2450183.7106,2368797.95842
2019,2694338.50948,2575322.50292
2020,2813438.41138,2672379.79317
2021,2896808.3427,2738282.84927
2022,2962313.28874,2788691.0578
2023,3003998.25441,2818379.32332
2024,3039728.22497,2843007.21985
2025,3081413.19064,2873013.26771
2026,3135008.14649,2913614.93124
2027,3182648.10725,2949145.18412
2028,3218378.07781,2974379.37286
2029,3266018.03857,3010198.64709
2030,3295793.01404,3030493.93903
2031,3355342.96499,3077031.13394
