year,Base case cost,Modeled non-residential energy efficiency
2017,502631.604373,453738.142314
2018,528327.866453,475693.404401
2019,563541.262638,506152.346275
2020,581623.817435,521366.153201
2021,593044.37836,530664.005894
2022,602561.512464,538286.176476
2023,608271.792926,542535.874755
2024,613982.073389,546805.24226
2025,619692.353851,551093.818044
2026,627306.061134,557097.458777
2027,633968.055007,562271.264517
2028,639678.335469,566614.805896
2029,646340.329342,571823.97057
2030,651098.896394,575353.888739
2031,658712.603677,581444.927722
