year,Base case cost,Modeled water and wastewater efficiency
2017,0.0,4884.66394069
2018,0.0,4770.17963358
2019,0.0,4658.37854766
2020,0.0,4549.19780085
2021,0.0,4442.57597595
2022,0.0,4338.45310016
2023,0.0,4236.77060918
2024,0.0,4137.47129607
2025,0.0,4040.49931117
2026,0.0,3945.80011092
2027,0.0,3853.32042202
2028,0.0,3763.00822091
2029,0.0,3674.81271841
2030,0.0,3588.68429317
2031,0.0,3504.57450697
