year,Base case diesel consumed,Modeled residential ashp
2017,11028.5628616,-46454.3811652
2018,11028.5628616,-46454.3811652
2019,10759.8793596,-46723.0646671
2020,10759.8793596,-46723.0646671
2021,10759.8793596,-46723.0646671
2022,10491.1958577,-46991.7481691
2023,10491.1958577,-46991.7481691
2024,10222.5123557,-47260.431671
2025,10222.5123557,-47260.431671
2026,9953.8288538,-47529.115173
2027,9953.8288538,-47529.115173
2028,9685.14535186,-47797.7986749
2029,9685.14535186,-47797.7986749
2030,9416.46184991,-48066.4821769
2031,9147.77834797,-48335.1656788
