year,Base case diesel consumed,Modeled diesel efficiency
2019,32123.6792383,29203.3447621
2020,32034.1982377,29121.9983979
2021,31944.717237,29040.6520337
2022,31855.2362364,28959.3056694
2023,31765.7552357,28877.9593052
2024,31676.274235,28796.6129409
2025,31586.7932344,28715.2665767
2026,31497.3122337,28633.9202125
2027,31497.3122337,28633.9202125
2028,31407.831233,28552.5738482
2029,31407.831233,28552.5738482
2030,31497.3122337,28633.9202125
2031,31407.831233,28552.5738482
2032,31318.3502324,28471.227484
2033,31228.8692317,28389.8811197
2034,31139.388231,28308.5347555
2035,31049.9072304,28227.1883913
2036,31049.9072304,28227.1883913
2037,30960.4262297,28145.842027
2038,30960.4262297,28145.842027
