year,Base case cost,Chignik lake -- unnamed creek 1,Chignik lake (cucumber creek),"Chignik lake (unnamed stream, site #6) -- unnamed creek 2"
2021,108612.038606,464755.785636,1274194.82598,488151.510659
2022,111811.87919,454923.948523,1245341.72985,478255.199371
2023,114039.061296,445323.207897,1217568.58535,468537.479423
2024,115618.400958,435945.606448,1190710.89546,459009.937301
2025,117818.738764,426744.549905,1164124.81284,449704.620858
2026,120319.732733,417722.351434,1137950.51204,440603.997734
2027,122839.517711,409247.511195,1112841.54765,432037.027781
2028,124689.089995,400626.315176,1088095.51033,423309.856521
2029,127515.794806,392518.725743,1063922.93347,415141.403857
2030,129453.953281,385020.13777,1041292.79434,407508.741281
2031,132226.969491,376901.21982,1017644.85117,399359.690677
2032,134982.089502,368942.905477,994487.024924,391376.566688
2033,137719.313312,361141.011081,971807.408848,383555.060895
2034,140438.640922,353491.451205,949594.375752,375890.966039
2035,142208.575115,346041.521671,928328.793522,368372.364251
2036,145624.06491,339089.115173,907272.508418,361434.919697
2037,147062.024591,331955.689732,887062.766654,354222.692795
2038,150467.671476,325306.803831,866888.475877,347598.113591
2039,152944.505575,318863.083299,847639.396586,341124.11381
2040,156206.982859,312042.280293,827697.885234,334356.227591
2041,156206.982859,306034.322663,810599.147741,328169.107797
2042,155754.208996,299714.402672,793448.388032,321674.224756
2043,155754.208996,293984.767806,777141.761299,315773.727537
2044,155754.208996,288389.421236,761217.321069,310011.5232
2045,155754.208996,282925.215623,745666.109967,304384.370548
2046,155754.208996,277589.077321,730479.380356,298889.10428
2047,155754.208996,272378.004774,715648.589756,293522.633327
2048,155301.435132,266836.292877,700712.621948,287829.165175
2049,155301.435132,261866.626781,686568.877728,282711.29961
2050,155301.435132,257013.437267,672756.627608,277713.384054
2051,155301.435132,252273.99439,659268.10212,272832.60715
2052,155301.435132,247645.632202,646095.71394,268066.223453
2053,155301.435132,243125.74727,633232.053656,263411.55189
2054,155301.435132,238711.797104,620669.885303,258865.974154
2055,155301.435132,234401.298908,608402.142811,254426.93341
2056,155301.435132,230191.828018,596421.925545,250091.932688
2057,155301.435132,226081.016608,584722.494636,245858.533551
2058,155301.435132,222066.552323,573297.269093,241724.35469
2059,155301.435132,218146.177077,562139.822365,237687.070678
2060,155301.435132,214317.685601,551243.878221,233744.410484
2061,155301.435132,210578.924395,540603.307774,229894.15639
2062,155301.435132,206927.790407,530212.125702,226134.142629
2063,155301.435132,203362.229861,520064.486929,222462.254179
2064,155301.435132,199880.237173,510154.683532,218876.425648
2065,155301.435132,196479.853662,500477.141078,215374.639946
2066,155301.435132,193159.166629,491026.415994,211954.927335
2067,155301.435132,189916.308225,481797.192356,208615.364267
2068,155301.435132,186749.454289,472784.278572,205354.072181
2069,155301.435132,183656.8235,463982.604979,202169.216636
2070,155301.435132,180636.676254,455387.220636,199059.006153
