year,Base case cost,Modeled non-residential energy efficiency
2017,328421.033028,362525.480684
2018,352470.117378,383456.191212
2019,385537.608359,412864.317621
2020,402071.35385,426834.381793
2021,413344.362139,435916.101688
2022,421611.234884,442218.763876
2023,427623.505972,446444.932438
2024,432132.709287,449297.190359
2025,438144.980375,453588.251887
2026,444908.785348,458613.994639
2027,450921.056436,462966.942926
2028,456181.793637,466646.380106
2029,462945.598611,471761.719129
2030,466703.268041,474092.050974
2031,474218.6069,479967.046609
