year,Base case diesel consumed,Chignik lake -- unnamed creek 1,Chignik lake (cucumber creek),"Chignik lake (unnamed stream, site #6) -- unnamed creek 2"
2021,31944.717237,0.0,0.0,0.0
2022,31855.2362364,0.0,0.0,0.0
2023,31765.7552357,0.0,0.0,0.0
2024,31676.274235,0.0,0.0,0.0
2025,31586.7932344,0.0,0.0,0.0
2026,31497.3122337,0.0,0.0,0.0
2027,31497.3122337,0.0,0.0,0.0
2028,31407.831233,0.0,0.0,0.0
2029,31407.831233,0.0,0.0,0.0
2030,31497.3122337,0.0,0.0,0.0
2031,31407.831233,0.0,0.0,0.0
2032,31318.3502324,0.0,0.0,0.0
2033,31228.8692317,0.0,0.0,0.0
2034,31139.388231,0.0,0.0,0.0
2035,31049.9072304,0.0,0.0,0.0
2036,31049.9072304,0.0,0.0,0.0
2037,30960.4262297,0.0,0.0,0.0
2038,30960.4262297,0.0,0.0,0.0
2039,30960.4262297,0.0,0.0,0.0
2040,30870.9452291,0.0,0.0,0.0
2041,30870.9452291,0.0,0.0,0.0
2042,30781.4642284,0.0,0.0,0.0
2043,30781.4642284,0.0,0.0,0.0
2044,30781.4642284,0.0,0.0,0.0
2045,30781.4642284,0.0,0.0,0.0
2046,30781.4642284,0.0,0.0,0.0
2047,30781.4642284,0.0,0.0,0.0
2048,30691.9832277,0.0,0.0,0.0
2049,30691.9832277,0.0,0.0,0.0
2050,30691.9832277,0.0,0.0,0.0
2051,30691.9832277,0.0,0.0,0.0
2052,30691.9832277,0.0,0.0,0.0
2053,30691.9832277,0.0,0.0,0.0
2054,30691.9832277,0.0,0.0,0.0
2055,30691.9832277,0.0,0.0,0.0
2056,30691.9832277,0.0,0.0,0.0
2057,30691.9832277,0.0,0.0,0.0
2058,30691.9832277,0.0,0.0,0.0
2059,30691.9832277,0.0,0.0,0.0
2060,30691.9832277,0.0,0.0,0.0
2061,30691.9832277,0.0,0.0,0.0
2062,30691.9832277,0.0,0.0,0.0
2063,30691.9832277,0.0,0.0,0.0
2064,30691.9832277,0.0,0.0,0.0
2065,30691.9832277,0.0,0.0,0.0
2066,30691.9832277,0.0,0.0,0.0
2067,30691.9832277,0.0,0.0,0.0
2068,30691.9832277,0.0,0.0,0.0
2069,30691.9832277,0.0,0.0,0.0
2070,30691.9832277,0.0,0.0,0.0
