year,Base case diesel consumed,Modeled residential ashp
2017,135154.973369,29216.2773107
2018,140343.502738,34404.8066795
2019,145532.032107,39593.3360483
2020,150720.561476,44781.8654171
2021,155909.090845,49970.3947859
2022,161097.620213,55158.9241547
2023,167583.281924,61644.5858657
2024,172771.811293,66833.1152345
2025,177960.340662,72021.6446033
2026,184446.002373,78507.3063143
2027,189634.531742,83695.8356831
2028,196120.193453,90181.4973941
2029,201308.722822,95370.0267629
2030,207794.384533,101855.688474
2031,214280.046244,108341.350185
