year,Base case cost,Modeled solar power (pv)
2016,322185.178065,341038.291432
2017,386075.43101,404143.363555
2018,437069.052199,454553.955204
2019,504862.663867,521567.62937
2020,540674.324923,557040.666098
2021,566805.329021,582968.243207
2022,588891.629216,604909.809497
2023,607099.864037,623030.637457
2024,622521.367053,638402.676403
2025,639664.305572,655479.516958
2026,660125.136202,675840.275847
2027,679624.819611,695259.576594
2028,696221.719384,711812.802734
2029,717811.079684,733307.688233
2030,733572.555054,749045.456576
2031,756036.767624,771418.625293
2032,778808.963901,794101.733923
2033,802246.970367,817452.583473
2034,827326.812681,842430.526903
2035,846679.943457,861749.963113
