year,Base case cost,Modeled non-residential energy efficiency
2017,992134.872172,977271.826608
2018,1047477.53837,1026665.80953
2019,1121267.75997,1092524.45343
2020,1156485.82028,1123956.98802
2021,1179964.52715,1144912.01107
2022,1198412.08255,1161376.67205
2023,1211828.48648,1173350.97094
2024,1221890.78943,1182331.69511
2025,1233630.14286,1192809.20664
2026,1248723.59728,1206280.29289
2027,1262140.00121,1218254.59178
2028,1272202.30415,1227235.31595
2029,1287295.75857,1240706.4022
2030,1295681.01103,1248190.339
2031,1310774.46544,1261661.42526
