year,Base case diesel consumed,Modeled residential energy efficiency
2017,105938.696165,88072.424953
2018,110005.627796,92139.3565845
2019,114072.559428,96206.2882159
2020,118139.491059,100273.219847
2021,122206.42269,104340.151479
2022,126273.354322,108407.08311
2023,131357.018861,113490.74765
2024,135423.950493,117557.679281
2025,139490.882124,121624.610912
2026,144574.546663,126708.275452
2027,148641.478295,130775.207083
2028,153725.142834,135858.871623
2029,157792.074466,139925.803254
2030,162875.739005,145009.467793
2031,167959.403544,150093.132333
2032,172026.335176,154160.063964
2033,177109.999715,159243.728503
2034,182193.664254,164327.393043
2035,187277.328794,169411.057582
2036,192360.993333,174494.722121
