year,Base case cost,Cathedral falls (kake),Gunnuk creek hydro rehabilitation - ipec kake,"Goemere creek (washington bay, unnamed stream)",Gunnuk creek,Ledge lake (ledge creek),Rowan bay (6415 road) -- 0,Rowan bay (big lake) -- 1605 lake,"Rowan bay (stink creek/ erode creek) -- erode creek, stink creek",Rowan bay (unnamed creeks),Towers creek
2020,482289.851228,,582703.529806,,,,,,,,
2021,503686.368114,1259077.78574,584760.397438,1350564.48904,880561.640575,1326245.02758,1196633.95922,1356642.01628,1209086.67045,1275791.41628,19115660.2397
2022,523858.092853,1235972.34264,589428.337207,1351529.41485,885144.601789,1316841.52832,1194776.51778,1336681.55628,1203664.25375,1274024.21483,18725236.1984
2023,542663.64479,1215844.18289,594731.134593,1351863.22261,889681.712598,1308326.09635,1193044.88136,1319027.39542,1198841.46387,1272185.56955,18347944.3998
2024,563443.872661,1202019.58204,604005.647335,1354896.99775,897507.897491,1304027.64807,1194770.49385,1307005.88637,1197948.86486,1273606.43467,17986913.6176
2025,588141.071199,1188983.26905,615528.778519,1361926.52909,908424.55706,1302386.57127,1199705.05664,1296437.2225,1199864.73532,1278474.31521,17632979.3059
2026,612902.112231,1176589.88465,627274.340943,1369407.86304,919640.467653,1301283.48527,1205077.17681,1286508.42352,1202253.125,1283799.21035,17287535.9522
2027,632714.634428,1159813.49529,634226.256348,1372319.54554,926137.750603,1295694.91598,1205865.73414,1272193.62768,1200092.0943,1284559.54387,16945373.6862
2028,649397.379155,1142320.42166,639115.009808,1372630.6811,930263.536385,1288301.31594,1204426.26859,1256825.37851,1195954.52383,1283001.33992,16610843.3018
2029,727921.055701,1185346.76227,705077.018792,1434984.82166,995915.718087,1342317.66919,1264630.43174,1302307.53757,1253275.00194,1343213.95609,16343277.2785
2030,802700.426511,1228877.13996,769269.704754,1494265.98983,1059105.25123,1394766.0792,1322520.88531,1347623.25271,1308749.84988,1400912.41802,16085081.2339
2031,874581.625913,1264441.17755,827958.953815,1550515.83598,1118004.36625,1442119.75552,1376209.03637,1385971.44849,1359399.02501,1454753.07029,15823297.0006
2032,883402.401002,1237447.06806,823725.332318,1544041.75965,1114047.24136,1426824.26571,1367160.90917,1361758.83985,1347342.24646,1445874.32076,15505761.7021
2033,875630.701024,1192490.15486,802118.192146,1521144.58035,1093163.26296,1394465.35642,1341291.50341,1319914.67973,1318275.6623,1420299.84405,15176047.0374
2034,869882.32859,1151896.41177,783580.934534,1500750.88467,1075031.11475,1365394.54471,1318299.90728,1282097.30818,1292333.94844,1397510.20116,14858051.3841
2035,880625.544845,1131983.70641,783494.11968,1497480.65502,1074648.27107,1354943.46273,1313192.48873,1264290.80496,1284740.9359,1392402.31238,14568804.556
2036,928636.224764,1144212.78265,818053.752314,1531306.20719,1110117.26416,1379516.19091,1344011.28633,1279625.20836,1312447.29689,1423563.20015,14315298.2143
2037,997333.146971,1185017.54706,877083.293677,1586753.84664,1168588.96042,1428630.68623,1397985.63461,1322197.55059,1364208.70576,1477458.34611,14099869.8643
2038,1073625.32664,1226409.8907,940165.907291,1649451.64091,1232697.90708,1482206.89426,1457654.98323,1366690.55632,1420818.85379,1537499.41221,13887476.8928
2039,1111913.72175,1233945.5623,967191.996028,1674749.1645,1260043.5745,1499872.79416,1480685.8142,1376656.94457,1441252.45187,1560698.11468,13648721.2735
2040,1129543.39868,1215655.48901,970927.027786,1679188.58913,1265298.08953,1494602.46991,1481689.99758,1361796.93171,1439030.06358,1562211.34079,13387178.2936
2041,1115085.97552,1184292.3874,951839.809859,1653405.16615,1243968.21518,1466302.89302,1456322.44628,1330523.27107,1412641.84557,1536275.76044,13126702.0062
2042,1116008.78977,1168705.75002,948241.340167,1643267.43368,1238179.6513,1453707.979,1446590.83851,1315023.97838,1401913.49296,1525989.43679,12887372.0233
2043,1146461.65982,1183036.10879,974278.893862,1662918.98863,1262078.44118,1470959.9426,1466638.99961,1329439.6347,1420988.27043,1545495.88317,12683203.0221
2044,1190449.13879,1211278.94777,1013954.54046,1696358.30828,1299665.45121,1502055.91131,1500465.62995,1357765.77208,1453864.33082,1578793.49523,12498067.579
2045,1219056.38036,1224510.56441,1038351.00823,1714664.61306,1322022.23485,1518073.78744,1519150.16782,1371078.7348,1471620.57772,1596961.41368,12302921.9679
2046,1226131.28956,1216570.21488,1041313.83365,1711680.01366,1322993.18123,1512854.39445,1516534.93668,1363217.82481,1468098.81243,1593841.67139,12091488.2316
2047,1224900.87057,1200676.45731,1036067.70785,1700625.85582,1315801.86105,1499617.82099,1505841.49003,1347401.64491,1456520.07853,1582655.53808,11876870.464
2048,1224593.26582,1186049.18599,1031838.51437,1690724.75611,1309673.06374,1487585.45603,1496292.64734,1332850.13303,1446106.6975,1572625.55606,11668176.7766
2049,1233821.40826,1181293.27891,1037236.98035,1690584.25103,1313216.44777,1485363.63721,1496496.14326,1328168.20978,1445465.91771,1572359.18936,11473902.8834
2050,1245202.78394,1179018.35631,1044878.43761,1692816.55693,1319046.3016,1485563.41017,1499064.38764,1325965.53703,1447209.67407,1574468.58352,11286551.8037
2051,1245202.78394,1165682.12756,1041226.17353,1683881.91849,1313624.89355,1474643.87629,1490457.81411,1312699.86475,1437797.93648,1565413.91408,11092477.1405
2052,1245202.78394,1152658.46665,1037659.50941,1675156.68563,1308330.54974,1463980.26897,1482052.95715,1299745.10666,1428606.78648,1556571.46345,10902951.1021
2053,1245202.78394,1139940.04785,1034176.43894,1666635.95045,1303160.29214,1453566.58999,1473845.08905,1287093.97576,1419631.0541,1547936.25779,10717867.081
2054,1245202.78394,1127519.71687,1030775.00295,1658314.91993,1298111.21241,1443396.98152,1465829.59279,1274739.35563,1410865.69036,1539503.43969,10537120.965
2055,1245202.78394,1115390.48745,1027453.28812,1650188.91359,1293180.47051,1433465.72329,1458001.95975,1262674.29696,1402305.76487,1531268.26579,10360611.0867
2056,1245202.78394,1103545.53685,1024209.42598,1642253.36053,1288365.29286,1423767.22893,1450357.78687,1250892.01311,1393946.46264,1523226.10378,10188238.1589
2057,1245202.78394,1091978.2023,1021041.59185,1634503.79701,1283662.97096,1414296.04304,1442892.7743,1239385.87655,1385783.08156,1515372.42996,10019905.2218
2058,1245202.78394,1080681.97711,1017948.00386,1626935.86384,1279070.8597,1405046.83804,1435602.72293,1228149.41502,1377811.0297,1507702.82659,9855517.58718
2059,1245202.78394,1069650.50728,1014926.92182,1619545.30418,1274586.37609,1396014.41135,1428483.5322,1217176.30814,1370025.82287,1500212.97961,9694982.78909
2060,1245202.78394,1058877.58745,1011976.64638,1612327.9607,1270206.99753,1387193.6821,1421531.19745,1206460.38339,1362423.08177,1492898.67586,9538210.52428
2061,1245202.78394,1048357.15794,1009095.51803,1605279.77372,1265930.26066,1378579.6887,1414741.80806,1195995.61313,1354998.52992,1485755.80112,9385112.60952
2062,1245202.78394,1038083.301,1006281.91612,1598396.77863,1261753.75981,1370167.58577,1408111.54498,1185776.11093,1347747.991,1478780.33751,9235602.92721
2063,1245202.78394,1028050.23756,1003534.25803,1591675.10371,1257675.14569,1361952.64148,1401636.67867,1175796.12827,1340667.38657,1471968.3613,9089597.37763
2064,1245202.78394,1018252.32412,1000850.99815,1585110.9681,1253692.12412,1353930.23502,1395313.5671,1166050.05156,1333752.73388,1465316.04085,8947013.83444
2065,1245202.78394,1008684.04921,998230.627168,1578700.67938,1249802.4546,1346095.85366,1389138.65341,1156532.39844,1327000.1433,1458819.63411,8807772.09199
2066,1245202.78394,999340.030717,995671.671153,1572440.63178,1246003.94919,1338445.09058,1383108.46424,1147237.81529,1320405.81654,1452475.48688,8671793.82742
2067,1245202.78394,990215.012729,993172.690648,1566327.3041,1242294.47128,1330973.64232,1377219.60768,1138161.07401,1313966.04437,1446280.03065,8539002.55452
2068,1245202.78394,981303.862277,990732.280005,1560357.25748,1238671.93422,1323677.30607,1371468.77115,1129297.06877,1307677.20431,1440229.78038,8409323.57602
2069,1245202.78394,972601.566938,988349.066494,1554527.13385,1235134.3004,1316551.97772,1365852.71986,1120640.81369,1301535.75895,1434321.33286,8282683.94893
2070,1245202.78394,964103.231669,,1548833.65375,1231679.57987,1309593.64928,1360368.29479,1112187.4396,1295538.25374,1428551.3646,8159012.43844
