year,Base case diesel consumed,Modeled wind power
2019,176949.703856,136936.844223
2020,177312.445304,137299.585671
2021,176732.058987,136719.199354
2022,178183.02478,138170.165147
2023,180286.925179,140274.065546
2024,184131.98453,144119.124897
2025,187904.495591,147891.635958
2026,191531.910072,151519.050439
2027,193490.713892,153477.854259
2028,195014.227974,155001.368341
2029,214094.428147,174081.568515
2030,232666.790293,192653.93066
2031,247756.834536,207743.974903
2032,244709.806372,204696.946739
2033,236656.946223,196644.08659
2034,230127.600156,190114.740523
2035,229329.56897,189316.709337
2036,236294.204775,196281.345142
2037,250586.217832,210573.358199
2038,263790.006545,223777.146912
