year,Base case cost,Modeled biomass for heat (cordwood)
2017,224207.452679,294716.581441
2018,250062.922679,312460.235682
2019,285494.492679,337353.304184
2020,302731.472679,348761.385502
2021,315180.402679,356644.738883
2022,323798.892679,361714.099135
2023,330502.162679,365391.722389
2024,335290.212679,367676.875765
2025,341993.482679,371414.856744
2026,348696.752679,375181.959798
2027,355400.022679,378977.502391
2028,361145.682679,382089.31467
2029,367848.952679,385939.752288
2030,372637.002679,388393.669698
2031,380297.882679,393007.962596
2032,,
2033,,
2034,,
2035,,
2036,,
