year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,516.632648086,335.811221256
2018,470.479191584,305.81147453
2019,477.618820088,310.452233057
2020,482.198806344,313.429224124
2021,473.575162963,307.823855926
2022,495.035885927,321.773325852
2023,525.119982353,341.32798853
2024,580.200201318,377.130130857
2025,633.541331914,411.801865744
2026,685.635976386,445.663384651
2027,714.023901571,464.115536021
2028,735.541307533,478.101849896
2029,1008.88103065,655.772669926
2030,1274.22818111,828.248317721
2031,1490.67814803,968.940796218
