year,Base case cost,Modeled wind power
2019,449452.247795,786147.029948
2020,482289.851228,802142.542686
2021,503686.368114,809019.005755
2022,523858.092853,816566.644156
2023,542663.64479,823797.146844
2024,563443.872661,834046.509153
2025,588141.071199,847568.365102
2026,612902.112231,861346.918569
2027,632714.634428,870365.288161
2028,649397.379155,876858.781407
2029,727921.055701,944951.83646
2030,802700.426511,1010317.94698
2031,874581.625913,1071694.23484
2032,883402.401002,1070177.37349
2033,875630.701024,1051810.41129
2034,869882.32859,1036047.28291
2035,880625.544845,1037773.49079
2036,928636.224764,1075656.35725
2037,997333.146971,1136057.95727
2038,1073625.32664,1202515.98159
