year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2003,,32388.22,4076302.0,0.0,4076302.0
2004,,32388.22,2877464.0,0.0,2877464.0
2005,,32388.22,2633975.0,0.0,2633975.0
2006,,32388.22,3353985.0,0.0,3353985.0
2007,,32388.22,2531131.0,0.0,2531131.0
2008,,32388.22,2608540.0,0.0,2608540.0
2009,,32388.22,2553077.0,0.0,2553077.0
2010,,32388.22,2498218.0,0.0,2498218.0
2011,,32388.22,2831388.0,0.0,2831388.0
2012,,32388.22,3020308.0,0.0,3020308.0
2013,,32388.22,3101990.0,0.0,3101990.0
2014,,32388.22,2838967.0,0.0,2838967.0
2015,,32388.22,2358927.0,0.0,2358927.0
2016,start of forecast,32388.22,2565000.0,4939.0,2560061.0
2017,,32388.22,2482000.0,4939.0,2477061.0
2018,,32388.22,2438000.0,4939.0,2433061.0
2019,,32388.22,2444000.0,4939.0,2439061.0
2020,,32388.22,2449000.0,4939.0,2444061.0
2021,,32388.22,2441000.0,4939.0,2436061.0
2022,,32388.22,2461000.0,4939.0,2456061.0
2023,,32388.22,2490000.0,4939.0,2485061.0
2024,,32388.22,2543000.0,4939.0,2538061.0
2025,,32388.22,2595000.0,4939.0,2590061.0
2026,,32388.22,2645000.0,4939.0,2640061.0
2027,,32388.22,2672000.0,4939.0,2667061.0
2028,,32388.22,2693000.0,4939.0,2688061.0
2029,,32388.22,2956000.0,4939.0,2951061.0
2030,,32388.22,3212000.0,4939.0,3207061.0
2031,,32388.22,3420000.0,4939.0,3415061.0
2032,,32388.22,3378000.0,4939.0,3373061.0
2033,,32388.22,3267000.0,4939.0,3262061.0
2034,,32388.22,3177000.0,4939.0,3172061.0
2035,,32388.22,3166000.0,4939.0,3161061.0
2036,,32388.22,3262000.0,4939.0,3257061.0
2037,,32388.22,3459000.0,4939.0,3454061.0
2038,,32388.22,3641000.0,4939.0,3636061.0
2039,,32388.22,3707000.0,4939.0,3702061.0
2040,,32388.22,3677000.0,4939.0,3672061.0
