year,Base case diesel consumed,Cathedral falls (kake),Gunnuk creek hydro rehabilitation - ipec kake,"Goemere creek (washington bay, unnamed stream)",Gunnuk creek,Ledge lake (ledge creek),Rowan bay (6415 road) -- 0,Rowan bay (big lake) -- 1605 lake,"Rowan bay (stink creek/ erode creek) -- erode creek, stink creek",Rowan bay (unnamed creeks),Towers creek
2020,177312.445304,,90309.0540607,,,,,,,,
2021,176732.058987,0.0,89728.6677437,161596.523796,125998.206468,93797.6196157,124898.034367,31596.7900598,104164.424524,135264.839291,0.0
2022,178183.02478,1450.96579262,91179.6335363,163047.489588,127449.172261,95248.5854084,126349.000159,33047.7558524,105615.390316,136715.805083,1450.96579262
2023,180286.925179,3554.86619193,93283.5339356,165151.389988,129553.07266,97352.4858077,128452.900558,35151.6562518,107719.290716,138819.705483,3554.86619193
2024,184131.98453,7399.92554239,97128.5932861,168996.449338,133398.132011,101197.545158,132297.959909,38996.7156022,111564.350066,142664.764833,7399.92554239
2025,187904.495591,11172.4366032,100901.104347,172768.960399,137170.643072,104970.056219,136070.47097,42769.226663,115336.861127,146437.275894,11172.4366032
2026,191531.910072,14799.8510848,104528.518828,176396.374881,140798.057553,108597.470701,139697.885451,46396.6411446,118964.275608,150064.690375,14799.8510848
2027,193490.713892,16758.6549048,106487.322649,178355.178701,142756.861373,110556.274521,141656.689271,48355.4449646,120923.079428,152023.494196,16758.6549048
2028,195014.227974,18282.1689871,108010.836731,179878.692783,144280.375455,112079.788603,143180.203354,49878.9590469,122446.593511,153547.008278,18282.1689871
2029,214094.428147,37362.3691601,127091.036904,198958.892956,163360.575629,131159.988776,162260.403527,68959.1592199,141526.793684,172627.208451,37362.3691601
2030,232666.790293,55934.7313057,145663.399049,217531.255102,181932.937774,149732.350921,180832.765672,87531.5213655,160099.155829,191199.570596,55934.7313057
2031,247756.834536,71024.775549,160753.443293,232621.299345,197022.982017,164822.395165,195922.809916,102621.565609,175189.200073,206289.61484,71024.775549
2032,244709.806372,67977.7473845,157706.415128,229574.27118,193975.953853,161775.367,192875.781751,99574.5374443,172142.171908,203242.586675,67977.7473845
2033,236656.946223,59924.8872354,149653.554979,221521.411031,185923.093704,153722.506851,184822.921602,91521.6772952,164089.311759,195189.726526,59924.8872354
2034,230127.600156,53395.5411686,143124.208912,214992.064964,179393.747637,147193.160784,178293.575535,84992.3312284,157559.965692,188660.380459,53395.5411686
2035,229329.56897,52597.5099827,142326.177726,214194.033778,178595.716451,146395.129598,177495.544349,84194.3000425,156761.934506,187862.349273,52597.5099827
2036,236294.204775,59562.1457873,149290.813531,221158.669583,185560.352256,153359.765403,184460.180154,91158.9358471,163726.570311,194826.985078,59562.1457873
2037,250586.217832,73854.1588446,163582.826588,235450.68264,199852.365313,167651.77846,198752.193211,105450.948904,178018.583368,209118.998135,73854.1588446
2038,263790.006545,87057.9475575,176786.615301,248654.471353,213056.154026,180855.567173,211955.981924,118654.737617,191222.372081,222322.786848,87057.9475575
2039,268578.193661,91846.1346732,181574.802417,253442.658469,217844.341142,185643.754289,216744.16904,123442.924733,196010.559197,227110.973964,91846.1346732
2040,266401.744972,89669.6859842,179398.353728,251266.20978,215667.892453,183467.3056,214567.720351,121266.476044,193834.110508,224934.525275,89669.6859842
2041,262991.975359,86259.9163716,175988.584115,247856.440167,212258.12284,180057.535987,211157.950738,117856.706431,190424.340895,221524.755662,86259.9163716
