year,Base case cost,Modeled biomass for heat (pellet)
2017,224207.452679,280520.047077
2018,250062.922679,298341.123871
2019,285494.492679,323048.119693
2020,302731.472679,334720.750079
2021,315180.402679,342975.122882
2022,323798.892679,348497.750908
2023,330502.162679,352662.048499
2024,335290.212679,355467.653433
2025,341993.482679,359661.782485
2026,348696.752679,363870.304956
2027,355400.022679,368092.883506
2028,361145.682679,371642.296068
2029,367848.952679,375892.006172
2030,372637.002679,378781.021766
2031,380297.882679,383743.499165
2032,,
2033,,
2034,,
2035,,
2036,,
