year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,179706.54,516.63,94443.81,75198.53
2018,176514.41,470.48,94443.81,69732.52
2019,176949.7,477.62,94443.81,70513.38
2020,177312.45,482.2,94443.81,71294.24
2021,176732.06,473.58,94443.81,70513.38
2022,178183.02,495.04,94443.81,72855.95
2023,180286.93,525.12,94443.81,75979.38
2024,184131.98,580.2,94443.81,82226.24
2025,187904.5,633.54,94443.81,88473.1
2026,191531.91,685.64,94443.81,93939.1
2027,193490.71,714.02,94443.81,97062.53
2028,195014.23,735.54,94443.81,99405.1
2029,214094.43,1008.88,94443.81,129858.54
2030,232666.79,1274.23,94443.81,158750.26
2031,247756.83,1490.68,94443.81,182956.84
2032,244709.81,,,178271.69
2033,236656.95,,,164997.12
2034,230127.6,,,154845.97
2035,229329.57,,,154065.11
2036,236294.2,,,164997.12
