year,Base case diesel consumed,Modeled solar power (pv)
2016,185728.046902,183378.337168
2017,179706.538862,177375.626807
2018,176514.414118,174202.149359
2019,176949.703856,174655.937215
2020,177312.445304,175037.028796
2021,176732.058987,174474.845811
2022,178183.02478,175943.869309
2023,180286.925179,178065.682953
2024,184131.98453,181928.512241
2025,187904.495591,185718.65108
2026,191531.910072,189363.552318
2027,193490.713892,191339.703
2028,195014.227974,192880.425169
2029,214094.428147,211977.695765
2030,232666.790293,230566.991769
2031,247756.834536,245673.834401
2032,244709.806372,242643.470237
2033,236656.946223,234607.140777
2034,230127.600156,228094.193154
2035,229329.56897,227312.429224
