year,Base case diesel consumed,Modeled residential energy efficiency
2017,75198.5259859,58221.8196047
2018,69732.5247976,52755.8184164
2019,70513.3821102,53536.675729
2020,71294.2394228,54317.5330416
2021,70513.3821102,53536.675729
2022,72855.9540481,55879.2476669
2023,75979.3832985,59002.6769173
2024,82226.2417995,65249.5354182
2025,88473.1003004,71496.3939192
2026,93939.1014887,76962.3951075
2027,97062.5307391,80085.8243579
2028,99405.102677,82428.3962958
2029,129858.537869,112881.831488
2030,158750.258436,141773.552055
2031,182956.835127,165980.128746
2032,178271.691251,161294.98487
2033,164997.116937,148020.410555
2034,154845.971873,137869.265491
2035,154065.11456,137088.408179
2036,164997.116937,148020.410555
