year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,95761.0,68689.2627468
2018,95761.0,68689.2627468
2019,95761.0,68689.2627468
2020,95761.0,68689.2627468
2021,95761.0,68689.2627468
2022,95761.0,68689.2627468
2023,95761.0,68689.2627468
2024,95761.0,68689.2627468
2025,95761.0,68689.2627468
2026,95761.0,68689.2627468
2027,95761.0,68689.2627468
2028,95761.0,68689.2627468
2029,95761.0,68689.2627468
2030,95761.0,68689.2627468
2031,95761.0,68689.2627468
2032,,
2033,,
2034,,
2035,,
2036,,
