year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,121713.0,103575.941222
2018,122704.0,104566.941222
2019,123687.0,105549.941222
2020,124184.0,106046.941222
2021,124681.0,106543.941222
2022,125174.0,107036.941222
2023,125178.0,107040.941222
2024,125179.0,107041.941222
2025,125667.0,107529.941222
2026,125670.0,107532.941222
2027,126165.0,108027.941222
2028,126660.0,108522.941222
2029,125177.0,107039.941222
2030,124189.0,106051.941222
2031,123687.0,105549.941222
2032,124188.0,106050.941222
2033,125667.0,107529.941222
2034,126660.0,108522.941222
2035,127157.0,109019.941222
2036,127157.0,109019.941222
