year,Base case cost,Modeled non-residential energy efficiency
2017,639295.478918,602668.443534
2018,660130.448766,620321.588988
2019,689998.445587,646699.17242
2020,703888.425485,657862.967197
2021,714076.428539,665610.56038
2022,721870.418743,671089.704294
2023,726964.42027,674072.898467
2024,731209.421542,676290.747661
2025,735760.398641,678777.869004
2026,742552.400677,683508.084159
2027,747646.402204,686660.717477
2028,752044.39139,689157.245662
2029,757987.393171,693197.981445
2030,761383.394189,694849.105519
2031,768175.396226,699774.289645
