year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5321.61777151,3459.05155148
2018,5337.76027964,3469.54418177
2019,5346.60714607,3475.29464495
2020,5355.57493623,3481.12370855
2021,5366.1336292,3487.98685898
2022,5372.02083336,3491.81354169
2023,5376.18217519,3494.51841387
2024,5376.71742464,3494.86632602
2025,5378.19577122,3495.82725129
2026,5381.06986915,3497.69541495
2027,5387.83754922,3502.09440699
2028,5395.92054477,3507.3483541
2029,5375.31033669,3493.95171885
2030,5360.98357393,3484.63932306
2031,5346.94454487,3475.51395417
