year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,11661.38,152518.8,175350.08,17625.92,486776.68,268824.87
2018,12977.82,169223.1,190465.85,17831.22,490907.35,274845.45
2019,14870.64,193583.53,211410.71,18062.15,496414.92,281710.33
2020,15752.48,204719.73,221400.57,18193.83,499168.7,285174.23
2021,16427.47,213071.87,229557.8,18297.95,501004.55,288131.21
2022,16928.97,219335.99,236325.95,18374.63,502534.43,290925.03
2023,17264.66,223512.06,239338.02,18422.93,503452.36,291456.44
2024,17535.21,226992.12,241848.07,18452.82,504217.3,291899.27
2025,17808.94,230472.18,246730.0,18497.26,505288.22,294443.71
2026,18248.95,236040.28,250785.07,18552.31,506512.12,295156.91
2027,18595.17,240216.36,256266.46,18610.08,507430.05,297624.43
2028,18892.86,243696.42,261289.69,18672.64,508347.97,300098.95
2029,19196.97,248568.5,257410.41,18638.14,509418.89,294910.55
2030,19360.24,251352.55,254382.34,18609.14,510030.84,291379.76
2031,19737.3,256920.65,255763.42,18603.32,511254.74,290131.78
2032,20161.0,261792.74,261766.32,18700.78,512631.64,292865.59
2033,20660.49,267360.84,273594.83,18811.92,513855.54,299436.1
2034,21157.67,272928.94,282988.12,18924.16,515232.43,304163.13
2035,21468.78,276409.0,288264.74,18990.02,515997.37,306579.96
2036,21902.2,281977.1,292436.75,19041.54,517374.26,307398.04
2037,22137.1,285457.16,292287.44,19038.23,518139.2,305879.12
2038,22595.78,291721.27,294136.43,19065.2,519516.09,304713.3
2039,22929.67,295897.34,297206.97,19113.48,520587.01,305341.42
2040,23452.65,302161.45,307560.31,19201.42,522116.89,310215.87
