year,Base case diesel consumed,Modeled residential ashp
2017,3247.61843477,-8258.5773203
2018,3247.61843477,-8258.5773203
2019,3247.61843477,-8258.5773203
2020,3039.98722207,-8466.208533
2021,3039.98722207,-8466.208533
2022,3039.98722207,-8466.208533
2023,3039.98722207,-8466.208533
2024,2832.35600937,-8673.83974571
2025,2832.35600937,-8673.83974571
2026,2832.35600937,-8673.83974571
2027,2624.72479667,-8881.47095841
2028,2624.72479667,-8881.47095841
2029,2417.09358397,-9089.10217111
2030,2417.09358397,-9089.10217111
2031,2417.09358397,-9089.10217111
