year,Base case cost,Modeled residential energy efficiency
2017,95720.6436819,103198.879947
2018,101820.752916,107995.224672
2019,110406.091839,114945.156798
2020,107827.116988,111364.094499
2021,110592.717663,113293.638645
2022,112507.364285,114506.881062
2023,113996.53388,115366.789883
2024,108165.549587,108947.320842
2025,109362.831919,109565.532541
2026,110959.208362,110529.759835
2027,104971.601755,103950.118068
2028,105903.379742,104360.90045
2029,99838.2995701,97689.9787831
2030,100704.120266,98051.7273748
2031,102089.43338,98847.7258406
