year,Base case cost,Modeled biomass for heat (cordwood)
2017,216416.167356,306196.288527
2018,231269.467356,316078.83688
2019,252874.267356,330979.330036
2020,262326.367356,336919.118883
2021,269753.017356,341385.851491
2022,274479.067356,343879.735609
2023,278529.967356,345897.856042
2024,281230.567356,346940.447244
2025,284606.317356,348504.620086
2026,288657.217356,350589.850368
2027,292708.117356,352696.410305
2028,295408.717356,353825.36821
2029,299459.617356,355973.099416
2030,302160.217356,357142.263643
2031,306211.117356,359329.258835
2032,,
2033,,
2034,,
2035,,
2036,,
