year,annotation,Average Load
2014,,6.0
2015,,23.0
2016,start of forecast,31.0
2017,,56.0
2018,,59.0
2019,,59.0
2020,,62.0
2021,,67.0
2022,,35.0
2023,,77.0
2024,,101.0
2025,,117.0
2026,,139.0
2027,,165.0
2028,,195.0
2029,,216.0
2030,,207.0
2031,,219.0
2032,,253.0
2033,,294.0
2034,,327.0
2035,,356.0
2036,,380.0
2037,,396.0
2038,,412.0
2039,,411.0
2040,,422.0
