year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,113583.33,8003.14,92909.13,138291.61
2018,114666.67,8098.66,92909.13,140675.7
2019,115833.33,8203.26,92909.13,141867.75
2020,116666.67,8279.45,92909.13,144251.84
2021,117666.67,8368.75,92909.13,145443.89
2022,118583.33,8450.56,92909.13,147827.98
2023,119833.33,8561.54,92909.13,150212.07
2024,120750.0,8640.94,92909.13,151404.12
2025,121666.67,8723.9,92909.13,153788.21
2026,123000.0,8841.97,92909.13,156172.3
2027,123916.67,8928.25,92909.13,158556.4
2028,125083.33,9032.7,92909.13,160940.49
2029,126083.33,9119.43,92909.13,162132.53
2030,127083.33,9209.92,92909.13,164516.63
2031,128166.67,9302.23,92909.13,166900.72
