year,Base case cost,Modeled non-residential energy efficiency
2017,499751.467608,585601.092329
2018,528438.112717,610268.546119
2019,568599.415868,645903.954167
2020,586958.868738,660875.545105
2021,599580.992586,670451.744942
2022,609908.184825,677903.296093
2023,615645.513846,681047.465509
2024,621382.842868,684245.759909
2025,628267.637694,688587.612368
2026,636299.898325,694071.784135
2027,643184.693151,698515.662321
2028,648922.022172,701918.065407
2029,655806.816998,706459.242888
2030,660396.680216,708865.963327
2031,668428.940846,714590.634086
