year,Base case cost,Modeled water and wastewater efficiency
2017,111285.431917,209009.88439
2018,116578.175238,213974.540273
2019,124901.498117,226362.726374
2020,128383.993796,229836.172419
2021,130898.868039,232570.408748
2022,133761.368079,239533.929066
2023,136858.223254,249534.130065
2024,139194.790001,256557.577359
2025,140855.663261,259729.023699
2026,142410.54954,261119.432922
2027,143308.585298,260682.342051
2028,143874.734644,259319.70286
2029,145311.716876,260813.189565
2030,146691.277964,263953.869088
2031,146510.386508,257804.64948
