year,annotation,diesel generation efficiency
2002,,13.68
2003,,13.87
2004,,13.54
2005,,13.19
2006,,13.2
2007,,13.02
2008,,12.44
2009,,11.74
2010,,13.03
2011,,13.26
2012,,12.98
2013,,13.05
2014,,13.19
2015,,13.66
2016,start of forecast,13.3
2017,,13.3
2018,,13.3
2019,,13.3
2020,,13.3
2021,,13.3
2022,,13.3
2023,,13.3
2024,,13.3
2025,,13.3
2026,,13.3
2027,,13.3
2028,,13.3
2029,,13.3
2030,,13.3
2031,,13.3
2032,,13.3
2033,,13.3
2034,,13.3
2035,,13.3
2036,,13.3
2037,,13.3
2038,,13.3
2039,,13.3
2040,,13.3
