year,Base case diesel consumed,Modeled solar power (pv)
2016,146191.428619,145116.14855
2017,146266.632292,145199.954464
2018,146417.039638,145358.895233
2019,146417.039638,145367.360388
2020,146492.243312,145450.961495
2021,146567.446985,145534.495423
2022,146417.039638,145392.351689
2023,146191.428619,145174.938173
2024,145965.817599,144957.459077
2025,145965.817599,144965.525945
2026,145965.817599,144973.528278
2027,146041.021272,145056.670266
2028,146191.428619,145214.95242
2029,146191.428619,145222.76423
2030,146116.224945,145155.309872
2031,146341.835965,145388.608212
2032,146341.835965,145396.234034
2033,146417.039638,145479.002523
2034,146417.039638,145486.50682
2035,146417.039638,145493.951082
