year,Base case cost,Modeled wind power
2019,489032.912392,717639.3566
2020,518582.541324,732834.580134
2021,539368.204905,741550.079929
2022,553456.409833,745144.053403
2023,562837.000182,745250.275982
2024,570726.346811,744376.995265
2025,580943.954043,745635.682159
2026,594080.877627,749261.593108
2027,604609.828067,751132.457328
2028,614004.000198,752365.839559
2029,625699.314488,755337.818931
2030,632683.254013,754793.288698
2031,645367.496607,759027.803384
2032,658538.261843,763528.707304
2033,672054.211941,768503.715019
2034,685231.745508,773266.203687
2035,694016.767886,774815.567303
2036,709022.457629,781297.077497
2037,716714.815757,782343.239638
2038,731746.826785,789082.825323
