year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.17
2003,,1.91,3.3
2004,,2.3,3.35
2005,,2.43,4.49
2008,,3.67,7.51
2009,,4.44,7.22
2010,,3.16,5.42
2011,,3.65,6.12
2012,,4.46,6.9
2013,,3.68,6.54
2014,,3.76,6.44
2016,start of forecast,2.19,4.92
2017,,2.61,5.34
2018,,2.92,5.65
2019,,3.34,6.07
2020,,3.54,6.27
2021,,3.68,6.41
2022,,3.78,6.51
2023,,3.85,6.58
2024,,3.91,6.64
2025,,3.98,6.71
2026,,4.07,6.8
2027,,4.14,6.87
2028,,4.2,6.93
2029,,4.28,7.01
2030,,4.33,7.06
2031,,4.41,7.14
2032,,4.5,7.23
2033,,4.59,7.32
2034,,4.68,7.41
2035,,4.74,7.47
2036,,4.84,7.57
2037,,4.89,7.62
2038,,4.99,7.72
2039,,5.06,7.79
2040,,5.16,7.89
