year,Base case cost,Modeled diesel efficiency
2019,489032.912392,697856.813312
2020,518582.541324,718783.828628
2021,539368.204905,731882.734364
2022,553456.409833,739028.912076
2023,562837.000182,742028.126463
2024,570726.346811,743801.241171
2025,580943.954043,747817.495935
2026,594080.877627,754611.248389
2027,604609.828067,759154.793627
2028,614004.000198,762784.571289
2029,625699.314488,768621.3834
2030,632683.254013,770287.517206
2031,645367.496607,777245.500193
2032,658538.261843,784752.959651
2033,672054.211941,792678.894514
2034,685231.745508,800399.395814
2035,694016.767886,804226.527164
2036,709022.457629,813806.293142
2037,716714.815757,816832.773587
2038,731746.826785,826624.632307
