year,Base case diesel consumed,Modeled wind power
2019,146417.039638,112887.97845
2020,146492.243312,112963.182124
2021,146567.446985,113038.385797
2022,146417.039638,112887.97845
2023,146191.428619,112662.36743
2024,145965.817599,112436.756411
2025,145965.817599,112436.756411
2026,145965.817599,112436.756411
2027,146041.021272,112511.960084
2028,146191.428619,112662.36743
2029,146191.428619,112662.36743
2030,146116.224945,112587.163757
2031,146341.835965,112812.774777
2032,146341.835965,112812.774777
2033,146417.039638,112887.97845
2034,146417.039638,112887.97845
2035,146417.039638,112887.97845
2036,146492.243312,112963.182124
2037,146567.446985,113038.385797
2038,146642.650658,113113.58947
