year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2003,,1231.4,198420.0,0.0,198420.0
2004,,1231.4,537635.0,0.0,537635.0
2005,,1231.4,699082.0,0.0,699082.0
2006,,1231.4,20246.0,0.0,20246.0
2007,,1231.4,0.0,0.0,0.0
2008,,1231.4,0.0,0.0,0.0
2009,,1231.4,247320.0,0.0,247320.0
2010,,1231.4,663226.0,0.0,663226.0
2011,,1231.4,743147.0,0.0,743147.0
2012,,1231.4,701082.0,0.0,701082.0
2013,,1231.4,677691.0,0.0,677691.0
2014,start of forecast,1231.4,678000.0,8294.0,669706.0
2015,,1231.4,679000.0,8294.0,670706.0
2016,,1231.4,679000.0,8294.0,670706.0
2017,,1231.4,679000.0,8294.0,670706.0
2018,,1231.4,679000.0,8294.0,670706.0
2019,,1231.4,679000.0,8294.0,670706.0
2020,,1231.4,679000.0,8294.0,670706.0
2021,,1231.4,679000.0,8294.0,670706.0
2022,,1231.4,679000.0,8294.0,670706.0
2023,,1231.4,679000.0,8294.0,670706.0
2024,,1231.4,679000.0,8294.0,670706.0
2025,,1231.4,679000.0,8294.0,670706.0
2026,,1231.4,679000.0,8294.0,670706.0
2027,,1231.4,679000.0,8294.0,670706.0
2028,,1231.4,679000.0,8294.0,670706.0
2029,,1231.4,679000.0,8294.0,670706.0
2030,,1231.4,679000.0,8294.0,670706.0
2031,,1231.4,679000.0,8294.0,670706.0
2032,,1231.4,679000.0,8294.0,670706.0
2033,,1231.4,679000.0,8294.0,670706.0
2034,,1231.4,679000.0,8294.0,670706.0
2035,,1231.4,680000.0,8294.0,671706.0
2036,,1231.4,680000.0,8294.0,671706.0
2037,,1231.4,680000.0,8294.0,671706.0
2038,,1231.4,680000.0,8294.0,671706.0
2039,,1231.4,680000.0,8294.0,671706.0
2040,,1231.4,680000.0,8294.0,671706.0
