year,Base case cost,Modeled solar power (pv)
2016,85051.1852983,85923.0627918
2017,101296.917322,102136.368197
2018,113720.124163,114535.622224
2019,129965.856186,130749.920911
2020,137610.90655,138381.642407
2021,143344.694323,144106.209537
2022,147167.219505,147923.526409
2023,150034.113391,150787.222565
2024,152423.19163,153174.120494
2025,154812.269869,155561.073708
2026,158156.979403,158901.850786
2027,161023.87329,161765.819349
2028,163412.951528,164152.956147
2029,166279.845415,167017.051949
2030,168191.108006,168927.385563
2031,172013.633188,172745.4407
2032,175358.342722,176086.66037
2033,178703.052256,179427.957641
2034,182525.577438,183246.274098
2035,184711.82913,185431.870851
