year,Base case diesel consumed,Modeled solar power (pv)
2016,47781.5647743,47680.6798315
2017,47781.5647743,47681.486911
2018,47781.5647743,47682.2875339
2019,47781.5647743,47683.0817519
2020,47781.5647743,47683.869616
2021,47781.5647743,47684.6511773
2022,47781.5647743,47685.4264861
2023,47781.5647743,47686.1955924
2024,47781.5647743,47686.9585458
2025,47781.5647743,47687.7153957
2026,47781.5647743,47688.4661907
2027,47781.5647743,47689.2109794
2028,47781.5647743,47689.9498097
2029,47781.5647743,47690.6827294
2030,47781.5647743,47691.4097858
2031,47781.5647743,47692.1310257
2032,47781.5647743,47692.8464957
2033,47781.5647743,47693.5562419
2034,47781.5647743,47694.2603102
2035,47852.8054741,47766.1994457
