year,Base case diesel consumed,Modeled residential energy efficiency
2017,197311.584596,133772.032714
2018,201039.25203,137499.700148
2019,204766.919464,141227.367582
2020,208494.586898,144955.035016
2021,212222.254333,148682.702451
2022,215949.921767,152410.369885
2023,219677.589201,156138.037319
2024,222162.700824,158623.148942
2025,225890.368258,162350.816376
2026,229618.035692,166078.48381
2027,233345.703127,169806.151245
2028,237073.370561,173533.818679
2029,240801.037995,177261.486113
2030,244528.705429,180989.153547
2031,248256.372864,184716.820982
